,"2016-01
Transmitter Park,
May 27, 2016","4Ah
BCS,
June 14, 2016","Baseline Spats and Site
ORS 4 tagged spat,
June 23, 2016","June 24 2016
Pier A,
June 24, 2016","Day 1 Data Collection
Tarrytown Boat Club,
July 6, 2016","2016-02
Transmitter Park,
July 9, 2016","7/12/16 - Pier 40
Pier 40,
July 11, 2016","7/17/16
Bearbower,
July 17, 2016","7/19/16 - Pier 26
Pier 26,
July 19, 2016","Day 2 Data Collection
Tarrytown Boat Club,
July 20, 2016","July 23, 2016
61st & John Finley Walk,
July 23, 2016"
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/cfa5c6982e57b277dc89157ba027b66e.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/94ff2f4b590cb7f90258148c96833b60.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/aacdbf7991d53c7bf7c59a373b41d569.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/535c4724c9704dd9a217bae00e52ea87.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/1a4db408ddfdca5b9133ef31058e500d.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/84af8854098180543f34981d98c8ef0a.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/4aca3204ba30be31e8344c73f31344dc.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/757ad58e87a9a969fd9a7d2d21c20603.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa16e9edde87adf6e0447edbb764254a0.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates31472d00fa4392a961681990b759e521.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates21c15d74b042a6e74a87777fc556d15d.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc19762ff093987e1e5947b027c9ef30e.JPG,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/innerSidePhoto1k.jpeg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates4d453bbaa91c6f455b3bc9f3eba12a8e.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates55a0acaa0dae675bf2dfa51ff6460977.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates936ed58c68febd54eda0ecc95a9456e9.jpg
Set date,7/6/2016,6/13/2016,,8/13/2016,7/14/2015,7/6/2016,9/21/2016,,7/13/2015,7/14/2015,7/23/2016
Source,"Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine",oyster garden
Total number of live oysters at baseline,6,,,10,5,6,9,,12,5,
Total mass of live oysters at baseline (g),,,,,,,,,,,
Total number of live oysters on shell,10,0,3,10,5,6,1,0,12,5,16
Total mass of scrubbed substrate shell + oysters + tag (g),,,,,,0,,,1,,
Measurements (mm),"15,21,19,15,25,18,12,16,13,14",,"32,32,26","56,20,22,26,12,15,19,10,28,7","28,27,31,26,32","20,30,35,35,30,20",32,,"35,32,21,20,30,40,25,28,23,14,20,11","41,36,29,31,32","32,26,25,23,34,41,26,31,31,44,34,30,18,31,12,21"
Minimum size of live oysters (mm),12,,26,7,26,20,32,,11,29,12
