,"Day 8 Tarrytown
Tarrytown Boat Club,
November 3, 2016","Yonkers Day 6
Science Barge,
November 6, 2016","TYWLS Expedition 1
Astoria TYWLS ORS,
November 9, 2016","November 11, 2016
Berkeley Carroll 4th Graders,
November 11, 2016","Expedition 1
The Brooklyn Pearl,
November 11, 2016","Yonkers Day 7
Science Barge,
November 13, 2016","TYWLS Expedition 2
Astoria TYWLS ORS,
November 16, 2016","Full Class Fall Trip
East Harlem,
November 17, 2016","November 2016
PS/MS 188,
November 17, 2016","PS 71 - McMurray Hall (East) Trip #3
SUNY Maritime McMurray Hall East,
November 23, 2016","PS 71- McMurray Hall (WEST) Trip #3
SUNY Maritime McMurray Hall West,
November 23, 2016","Second Expedition
GHS ORS,
November 29, 2016"
Inner side photo,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates01111b0045950b8138a389c78bb9ec54.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5ea9aacb5dfd2fec321a091193579e62.jpg,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc4f744e5230b5e9f1cd95d9ffc4fba71.JPG
Set date,7/14/2015,7/15/2015,7/31/2015,,,7/15/2015,7/31/2015,6/9/2016,,5/16/2017,,11/19/2016
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",,Wallabout Channel
Total number of live oysters at baseline,11,,6,,,,6,4,,,,2
Total mass of live oysters at baseline (g),,,15.3,,,,15.3,,,,,38
Total number of live oysters on shell,8,11,0,0,8,12,0,4,3,0,0,4
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,1.69,0,12.7,29.8,3,0,0,28
Measurements (mm),"51,57,51,48,42,28,45,64","47,40,50,58,62,41,43,45,45,37,45",,,"32,19,15,31,25,30,25,23","59,49,43,44,54,44,33,40,62,46,44,56",,"37,30,25.2,26.9","1.7,1.6,3.2",,,"30,20,60,30"
Minimum size of live oysters (mm),28,37,,,15,33,0,25.2,1.6,0,,20
Maximum size of live oysters (mm),64,62,,,32,62,0,37,3.2,0,,60
Average size of live oysters (mm),48.25,46.63636364,,,25,47.83333333,0,29.775,2.166666667,0,,35
Substrate Shell #10,,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/716314bdda4a9ed5b5dba3c2accff6d8.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/4ff7f92ef56890736e7d9d775d0c7909.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/0628951af26647af50d1b48fa01919e6.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/6155736128ca1a3c36535f41ae67d146.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/4c328ca1d1690859d4f52ca7ff65d228.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/63b603001f59148d74e2f33f047a8d3c.JPG
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates83a39d6f35594d8d111ddfe36d3bb960.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates80e3244d5b755830fe310b1fc420eb29.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratese645c736ef95496f0c26b00583275d08.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates93cb65af34d19a27f864cd51382de68f.jpg,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates74069643cc0222107b0369e1e6b9e887.JPG
Set date,7/14/2015,7/15/2015,7/29/2015,,,7/15/2015,7/29/2015,6/9/2016,12/8/2016,,,11/19/2016
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",East River,,,Wallabout Channel
